t              u1              u2
0.390643       0.421219      -0.410945
0.391512       0.422217      -0.410797
0.392382       0.423215      -0.410648
0.393251       0.424213      -0.410499
0.394120       0.425212      -0.410350
0.394989       0.426210      -0.410200
0.395858       0.427208      -0.410049
0.396727       0.428207      -0.409898
0.397595       0.429205      -0.409746
0.398463       0.430203      -0.409594
0.399332       0.431201      -0.409441
0.400199       0.432200      -0.409288
0.401067       0.433198      -0.409134
0.401935       0.434196      -0.408979
0.402802       0.435194      -0.408824
0.403669       0.436193      -0.408668
0.404536       0.437191      -0.408512
0.405403       0.438189      -0.408356
0.406270       0.439187      -0.408198
0.407137       0.440186      -0.408041
0.408003       0.441184      -0.407882
0.408869       0.442182      -0.407723
0.409735       0.443181      -0.407564
0.410601       0.444179      -0.407404
0.411467       0.445177      -0.407243
0.412333       0.446175      -0.407082
0.413198       0.447174      -0.406921
0.414063       0.448172      -0.406759
0.414928       0.449170      -0.406596
0.415793       0.450168      -0.406433
0.416658       0.451167      -0.406269
0.417522       0.452165      -0.406105
0.418387       0.453163      -0.405940
0.419251       0.454161      -0.405775
0.420115       0.455160      -0.405609
0.420979       0.456158      -0.405443
0.421843       0.457156      -0.405276
0.422707       0.458155      -0.405108
0.423570       0.459153      -0.404940
0.424434       0.460151      -0.404772
0.425297       0.461149      -0.404603
0.426160       0.462148      -0.404433
0.427023       0.463146      -0.404263
0.427885       0.464144      -0.404093
0.428748       0.465143      -0.403922
0.429610       0.466141      -0.403750
0.430473       0.467139      -0.403578
0.431335       0.468137      -0.403405
0.432197       0.469136      -0.403232
0.433059       0.470134      -0.403058
0.433920       0.471132      -0.402884
0.434782       0.472130      -0.402709
0.435643       0.473129      -0.402534
0.436504       0.474127      -0.402358
0.437366       0.475125      -0.402182
0.438226       0.476124      -0.402005
0.439087       0.477122      -0.401828
0.439948       0.478120      -0.401650
0.440808       0.479118      -0.401471
0.441669       0.480117      -0.401292
0.442529       0.481115      -0.401113
0.443389       0.482113      -0.400933
0.444249       0.483112      -0.400753
0.445109       0.484110      -0.400572
0.445969       0.485108      -0.400390
0.446828       0.486106      -0.400208
0.447688       0.487105      -0.400026
0.448547       0.488103      -0.399843
0.449406       0.489101      -0.399660
0.450265       0.490099      -0.399476
0.451124       0.491098      -0.399291
0.451983       0.492096      -0.399106
0.452841       0.493094      -0.398921
0.453700       0.494093      -0.398735
0.454558       0.495091      -0.398548
0.455416       0.496089      -0.398361
0.456274       0.497087      -0.398174
0.457132       0.498086      -0.397986
0.457990       0.499084      -0.397797
0.458848       0.500082      -0.397608
