t              u1             u2             u3
0.346250       1.000000       3.038750       3.000000
0.346875       1.000000       3.040625       3.000000
0.347500       1.000000       3.042500       3.000000
0.348125       1.000000       3.044375       3.000000
0.348750       1.000000       3.046250       3.000000
0.349375       1.000000       3.048125       3.000000
0.350000       1.000000       3.050000       3.000000
0.350625       1.000000       3.051875       3.000000
0.351250       1.000000       3.053750       3.000000
0.351875       1.000000       3.055625       3.000000
0.352500       1.000000       3.057500       3.000000
0.353125       1.000000       3.059375       3.000000
0.353750       1.000000       3.061250       3.000000
0.354375       1.000000       3.063125       3.000000
0.355000       1.000000       3.065000       3.000000
0.355625       1.000000       3.066875       3.000000
0.356250       1.000000       3.068750       3.000000
0.356875       1.000000       3.070625       3.000000
0.357500       1.000000       3.072500       3.000000
0.358125       1.000000       3.074375       3.000000
0.358750       1.000000       3.076250       3.000000
0.359375       1.000000       3.078125       3.000000
0.360000       1.000000       3.080000       3.000000
0.360625       1.000000       3.081875       3.000000
0.361250       1.000000       3.083750       3.000000
0.361875       1.000000       3.085625       3.000000
0.362500       1.000000       3.087500       3.000000
0.363125       1.000000       3.089375       3.000000
0.363750       1.000000       3.091250       3.000000
0.364375       1.000000       3.093125       3.000000
0.365000       1.000000       3.095000       3.000000
0.365625       1.000000       3.096875       3.000000
0.366250       1.000000       3.098750       3.000000
0.366875       1.000000       3.100625       3.000000
0.367500       1.000000       3.102500       3.000000
0.368125       1.000000       3.104375       3.000000
0.368750       1.000000       3.106250       3.000000
0.369375       1.000000       3.108125       3.000000
0.370000       1.000000       3.110000       3.000000
0.370625       1.000000       3.111875       3.000000
0.371250       1.000000       3.113750       3.000000
0.371875       1.000000       3.115625       3.000000
0.372500       1.000000       3.117500       3.000000
0.373125       1.000000       3.119375       3.000000
0.373750       1.000000       3.121250       3.000000
0.374375       1.000000       3.123125       3.000000
0.375000       1.000000       3.125000       3.000000
0.375625       1.000000       3.126875       3.000000
0.376250       1.000000       3.128750       3.000000
0.376875       1.000000       3.130625       3.000000
0.377500       1.000000       3.132500       3.000000
0.378125       1.000000       3.134375       3.000000
0.378750       1.000000       3.136250       3.000000
0.379375       1.000000       3.138125       3.000000
0.380000       1.000000       3.140000       3.000000
0.380625       1.000000       3.141875       3.000000
0.381250       1.000000       3.143750       3.000000
0.381875       1.000000       3.145625       3.000000
0.382500       1.000000       3.147500       3.000000
0.383125       1.000000       3.149375       3.000000
0.383750       1.000000       3.151250       3.000000
0.384375       1.000000       3.153125       3.000000
0.385000       1.000000       3.155000       3.000000
0.385625       1.000000       3.156875       3.000000
0.386250       1.000000       3.158750       3.000000
0.386875       1.000000       3.160625       3.000000
0.387500       1.000000       3.162500       3.000000
0.388125       1.000000       3.164375       3.000000
0.388750       1.000000       3.166250       3.000000
0.389375       1.000000       3.168125       3.000000
0.390000       1.000000       3.170000       3.000000
0.390625       1.000000       3.171875       3.000000
