t              u1             u2             u3
0.131912       1.000000       2.395736       3.000000
0.132245       1.000000       2.396736       3.000000
0.132578       1.000000       2.397735       3.000000
0.132911       1.000000       2.398734       3.000000
0.133245       1.000000       2.399734       3.000000
0.133578       1.000000       2.400733       3.000000
0.133911       1.000000       2.401732       3.000000
0.134244       1.000000       2.402732       3.000000
0.134577       1.000000       2.403731       3.000000
0.134910       1.000000       2.404730       3.000000
0.135243       1.000000       2.405730       3.000000
0.135576       1.000000       2.406729       3.000000
0.135909       1.000000       2.407728       3.000000
0.136243       1.000000       2.408728       3.000000
0.136576       1.000000       2.409727       3.000000
0.136909       1.000000       2.410726       3.000000
0.137242       1.000000       2.411726       3.000000
0.137575       1.000000       2.412725       3.000000
0.137908       1.000000       2.413724       3.000000
0.138241       1.000000       2.414724       3.000000
0.138574       1.000000       2.415723       3.000000
0.138907       1.000000       2.416722       3.000000
0.139241       1.000000       2.417722       3.000000
0.139574       1.000000       2.418721       3.000000
0.139907       1.000000       2.419720       3.000000
0.140240       1.000000       2.420720       3.000000
0.140573       1.000000       2.421719       3.000000
0.140906       1.000000       2.422718       3.000000
0.141239       1.000000       2.423718       3.000000
0.141572       1.000000       2.424717       3.000000
0.141905       1.000000       2.425716       3.000000
0.142239       1.000000       2.426716       3.000000
0.142572       1.000000       2.427715       3.000000
0.142905       1.000000       2.428714       3.000000
0.143238       1.000000       2.429714       3.000000
0.143571       1.000000       2.430713       3.000000
0.143904       1.000000       2.431712       3.000000
0.144237       1.000000       2.432712       3.000000
0.144570       1.000000       2.433711       3.000000
0.144903       1.000000       2.434710       3.000000
0.145237       1.000000       2.435710       3.000000
0.145570       1.000000       2.436709       3.000000
0.145903       1.000000       2.437708       3.000000
0.146236       1.000000       2.438708       3.000000
0.146569       1.000000       2.439707       3.000000
0.146902       1.000000       2.440706       3.000000
0.147235       1.000000       2.441706       3.000000
0.147568       1.000000       2.442705       3.000000
0.147901       1.000000       2.443704       3.000000
0.148235       1.000000       2.444704       3.000000
